id,company_id,year,equity_capital,reserves,borrowings,other_liabilities,total_liabilities,fixed_assets,cwip,investments,other_asset,total_assets,fiscal_year,sort_order,is_ttm,equity,debt_to_equity,equity_ratio
714,HINDUNILVR,Mar 2021,235.0,47439,0,21066,68740,51443,745,2709,13843,68740,2021,202104,False,47674.0,0.0,0.6935408786732615
715,HINDUNILVR,Mar 2022,235.0,48826,1043,20402,70506,51473,1313,3521,14199,70506,2022,202204,False,49061.0,0.02125924869040582,0.6958414886676311
716,HINDUNILVR,Mar 2023,235.0,50069,1219,21554,73077,52678,1132,2882,16385,73077,2023,202304,False,50304.0,0.024232665394402036,0.6883698017159982
717,HINDUNILVR,Mar 2024,235.0,50983,1484,25787,78489,53744,1025,4625,19095,78489,2024,202404,False,51218.0,0.028974188761763442,0.6525500388589484
718,HINDUNILVR,Sep 2024,235.0,50541,1651,28338,80765,54027,1022,4316,21400,80765,2024,202410,False,50776.0,0.03251536158815188,0.6286881693803009
719,ICICIBANK,Mar 2013,1154.0,67609,487659,118401,674822,5473,0,255667,413682,674822,2013,201304,False,68763.0,7.091880807992671,0.10189798198636085
720,ICICIBANK,Mar 2014,1155.0,75275,543055,128278,747762,5507,0,267609,474646,747762,2014,201404,False,76430.0,7.1052597147716865,0.10221166627884273
721,ICICIBANK,Mar 2015,1160.0,83545,597207,144167,826079,5871,0,274311,545897,826079,2015,201504,False,84705.0,7.050433858686028,0.10253861918775323
722,ICICIBANK,Mar 2016,1163.0,92948,671455,153190,918756,8713,0,286044,623999,918756,2016,201604,False,94111.0,7.1347132641242785,0.1024330725459208
723,ICICIBANK,Mar 2017,1165.0,103467,700874,180219,985725,9338,0,304373,672013,985725,2017,201704,False,104632.0,6.698467008181054,0.10614725202262294
724,ICICIBANK,Mar 2018,1286.0,109344,815198,198453,1124281,9465,0,372208,742608,1124281,2018,201804,False,110630.0,7.368688420862334,0.09840066673723029
725,ICICIBANK,Mar 2019,1289.0,112964,891641,232899,1238794,9660,0,398201,830933,1238794,2019,201904,False,114253.0,7.804092671527225,0.092229216479899
726,ICICIBANK,Mar 2020,1295.0,121665,1014636,239696,1377292,10409,0,443473,923411,1377292,2020,202004,False,122960.0,8.251756668835394,0.08927663850512454
727,ICICIBANK,Mar 2021,1383.0,156204,1103840,312385,1573812,10809,0,536579,1026424,1573812,2021,202104,False,157587.0,7.004638707507599,0.10013076530106518
728,ICICIBANK,Mar 2022,1390.0,180663,1252968,317616,1752637,10707,0,567098,1174833,1752637,2022,202204,False,182053.0,6.882435334765151,0.10387376279286584
729,ICICIBANK,Mar 2023,1397.0,213101,1399894,344099,1958490,11070,0,639552,1307868,1958490,2023,202304,False,214498.0,6.526373206276982,0.10952213184647355
730,ICICIBANK,Mar 2024,1405.0,254739,1651008,456911,2364063,15714,0,827163,1521186,2364063,2024,202404,False,256144.0,6.445624336310825,0.10834905837957787
731,ICICIGI,Mar 2013,437.0,1433,0,10767,12637,390,10,7800,4436,12637,2013,201304,False,1870.0,0.0,0.14797815937326897
732,ICICIGI,Mar 2014,445.0,1949,0,12350,14744,373,17,9290,5064,14744,2014,201404,False,2394.0,0.0,0.16237113402061856
733,ICICIGI,Mar 2015,447.0,2439,0,11760,14646,381,9,10200,4056,14646,2015,201504,False,2886.0,0.0,0.19705038918476034
734,ICICIGI,Mar 2016,448.0,2789,0,12440,15676,510,10,11426,3730,15676,2016,201604,False,3237.0,0.0,0.20649400357233988
