symbol,peer_1,peer_2,peer_3,peer_4,peer_5
ULTRACEMCO,VBL,TRENT,WIPRO,JINDALSTEL,ATGL
HEROMOTOCO,HINDUNILVR,INDIGO,NESTLEIND,BRITANNIA,TECHM
IRFC,PFC,RECLTD,INDUSINDBK,UNIONBANK,SHRIRAMFIN
HCLTECH,TECHM,NESTLEIND,ASIANPAINT,VEDL,BRITANNIA
WIPRO,GRASIM,ULTRACEMCO,ADANIENT,JINDALSTEL,DMART
JSWSTEEL,GRASIM,TATASTEEL,ADANIENT,WIPRO,TATAMOTORS
DRREDDY,SHREECEM,ZYDUSLIFE,VBL,JSWENERGY,GODREJCP
KOTAKBANK,CANBK,ICICIBANK,BAJAJFINSV,BANKBARODA,LODHA
INFY,BAJAJ-AUTO,DIVISLAB,TCS,BEL,ITC
ADANIGREEN,ADANIPOWER,INDUSINDBK,SHRIRAMFIN,LODHA,PNB
AMBUJACEM,ASIANPAINT,DABUR,TECHM,TORNTPHARM,LTIM
VEDL,BHARTIARTL,NESTLEIND,HCLTECH,TECHM,BRITANNIA
LTIM,ABB,IRCTC,ASIANPAINT,DABUR,BRITANNIA
MARUTI,LT,GAIL,MOTHERSON,NTPC,M&M
TORNTPHARM,DABUR,AMBUJACEM,ASIANPAINT,TECHM,DLF
SBIN,NTPC,BHARTIARTL,BPCL,M&M,VEDL
TATAPOWER,JINDALSTEL,UNITDSPR,ADANIENSOL,ADANIENT,BAJAJFINSV
ICICIGI,TVSMOTOR,JSWENERGY,MOTHERSON,GODREJCP,APOLLOHOSP
HAL,BOSCHLTD,BEL,IRCTC,ABB,ICICIPRULI
ADANIPORTS,ATGL,NAUKRI,SHREECEM,ZYDUSLIFE,VBL
ATGL,TRENT,VBL,UNITDSPR,DMART,ADANIENSOL
JSWENERGY,GODREJCP,ZYDUSLIFE,DRREDDY,SHREECEM,TVSMOTOR
ASIANPAINT,TECHM,AMBUJACEM,TORNTPHARM,DABUR,LTIM
UNIONBANK,BANKBARODA,AXISBANK,PNB,PFC,ADANIPOWER
BPCL,ONGC,LT,SBIN,NTPC,RELIANCE
